bin_edges,bin_counts_bb,bin_counts_Bi214,bin_counts_Bi214_wire,bin_counts_Tl208,bin_counts_K40,bin_counts_Pa234m,bin_counts_neutrons,bin_errs_bb,bin_errs_Bi214,bin_errs_Bi214_wire,bin_errs_Tl208,bin_errs_K40,bin_errs_Pa234m,bin_errs_neutrons
300.0,924.3607471266981,0.0740145978,0.17452337759999997,0.018234219976273253,1225.3057476660001,339.8611659299999,0.08469142696412746,2.9943610095318336,0.0020426079620780592,0.01881933979543884,0.00045387412492701844,20.135740921380734,5.757051994163368,0.022447888911933916
400.0,1893.7774847504108,0.14605622460000003,0.39166292879999987,0.03947358401307233,1956.5846302860004,571.6689109559999,0.08266105636130305,4.2859577548672805,0.0028693687484247755,0.028192514513460446,0.0006677979933647025,25.444545523887825,7.46657905306371,0.02222661117009225
500.0,3130.1740033084257,0.23376887820000003,0.4221030527999999,0.06619225207000308,2349.6883916220004,829.4172786899999,0.06925110757219954,5.5102036702889725,0.003630109079003126,0.029267580776928526,0.0008647596327360381,27.883707284259444,8.993648697537164,0.018229269149686173
600.0,4477.837963629897,0.31674640140000004,0.5438635487999999,0.08502524135156908,2353.9900321080004,1167.2305007219998,0.10898207724858366,6.590488379473423,0.0042255395743927004,0.03322175378127214,0.000980089567493673,27.909219355943485,10.669097747172401,0.02409636400824329
700.0,5756.264106907732,0.3737934486000001,0.6148905047999998,0.09837892661300339,1909.2665849400003,1552.7315592359998,0.1057458034508727,7.472290842917583,0.004590311642323554,0.035324536526834135,0.0010542482034160243,25.134987016790365,12.305451989472353,0.0212972650333438
800.0,6833.543624795558,0.4009077072,0.6473599703999998,0.10296572544222701,1283.5433419380001,1790.1955302659997,0.1706341916949441,8.141536931041339,0.0047538834650723534,0.036245199931956344,0.0010785447558702393,20.60870242848552,13.212944613296981,0.029720911838156682
900.0,7633.367480212639,0.41330923920000007,0.6148905047999998,0.10068362356167733,615.1345894980001,1821.8899001159996,0.15530239662507483,8.604814191230016,0.004826850919517562,0.035324536526834135,0.001066525511502861,14.266927475064051,13.329395198958526,0.024706818478276067
1000.0,8055.157510518815,0.42215942340000007,0.5966264303999999,0.09388250805627678,159.16069798200002,1737.0465100559998,0.27077009298227495,8.839352029083154,0.004878255835102547,0.034795960036622414,0.0010298741828998895,7.257103163423299,13.015327595554002,0.03869445399043998
1100.0,8072.374815821764,0.44166365100000005,0.5945970887999998,0.08240421344915556,21.177307008000003,1542.1992763319997,0.24097625522335875,8.848793718183007,0.004989673837542952,0.03473673282766722,0.0009648649689488332,2.6471633760000004,12.26364662124089,0.03481653365985611
1200.0,7765.8291823067675,0.468439686,0.6088024799999999,0.06992043831050505,1.3235816880000002,1286.108767944,0.19040102089843458,8.679152680209278,0.005138698878474162,0.03514922757113117,0.0008887792377479304,0.6617908440000001,11.199231698722764,0.02739924729868579
1300.0,7173.8060770334,0.5271778512,0.6453306287999998,0.05701865441155582,0.0,1027.4827099679999,0.1973681856870826,8.3417703195033,0.005451360543832588,0.03618834468137494,0.0008026021370462513,0.0,10.010059098297235,0.027454420263120935
1400.0,6333.378480772292,0.5522063976,0.6128611631999998,0.04387962229730192,0.0,756.8615520179999,0.15669825379404756,7.837925526874971,0.0055792657184033255,0.035266197037760516,0.0007040820460266284,0.0,8.591274635421774,0.023440161991279036
1500.0,5343.30097678504,0.5617893996000001,0.6331545791999998,0.03349718849420706,0.0,518.6174118839999,0.20055398231443178,7.199266169288195,0.005627468838571367,0.03584531945458227,0.000615171218441499,0.0,7.111691795455029,0.030816941935869056
1600.0,4331.777015319015,0.5690048364000001,0.5235701327999999,0.024007259882020234,0.0,312.45772615199996,0.25126200617160066,6.4821109140897875,0.005663492211592584,0.03259605269060296,0.0005207905877178106,0.0,5.520075455212129,0.03550889939967627
1700.0,3342.8731980594566,0.5510789856000001,0.5134234247999999,0.01627974658352525,0.0,159.349539492,0.22299397606911953,5.694339588266571,0.005573567355443314,0.0322786541596937,0.0004288601072030073,0.0,3.9420741280493163,0.03613112978431083
1800.0,2441.6563892160475,0.5277979278000001,0.5032767167999999,0.010371136269032742,0.0,64.85155676999999,0.200299630809468,4.866600369233116,0.005454565598546111,0.031958103474919446,0.00034229850315530143,0.0,2.514835505014593,0.0329183079816943
1900.0,1686.141632741994,0.47892461760000005,0.39775095359999996,0.005558386758566567,0.0,19.114143048,0.12102483024773392,4.044179630937051,0.005195889533937627,0.028410782399999994,0.00025059142789685053,0.0,1.3652959319999998,0.0257860585352761
2000.0,1079.2582955113758,0.4200737112000001,0.4058683199999999,0.003310177480203261,0.0,3.5107609679999996,0.13703378683590017,3.235535053783127,0.0048661902084249364,0.02869922413407916,0.00019338263322822612,0.0,0.5851268279999999,0.02739293228755048
2100.0,632.6074463367718,0.36967839480000003,0.2577263831999999,0.0025871353002271218,0.0,0.5851268279999999,0.21807114325201837,2.4771400525037026,0.004564974580642579,0.022869518378079167,0.00017096271282840452,0.0,0.23887702723554277,0.040570085673838005
2200.0,338.7977688008029,0.31020741180000005,0.24352099199999994,0.0024967550277301045,0.0,0.0,0.14835355856166643,1.8128158194245256,0.004181695580456938,0.022230323424072513,0.000167949918042755,0.0,0.0,0.032000156275103726
2300.0,159.5437958438962,0.24244995060000002,0.24352099199999994,0.002880871185842428,0.0,0.0,0.21392071345280783,1.2440085689292824,0.0036968972375888897,0.022230323424072513,0.00018040715160618087,0.0,0.0,0.038341049228141036
2400.0,64.04837572697267,0.18698128020000002,0.14002457039999996,0.0033666651505138965,0.0,0.0,0.2483846953093689,0.7882018898624351,0.003246574649325366,0.01685697736057234,0.00019502567578067058,0.0,0.0,0.04249566413889404
2500.0,20.049673273913754,0.1318508334,0.10755510479999997,0.004326955545794706,0.0,0.0,0.21826977995783636,0.4409984484539555,0.002726263118126723,0.014773829850888348,0.0002210971000803171,0.0,0.0,0.03891160112512146
2600.0,4.4522496529881055,0.08872732440000002,0.06696827279999998,0.0056148744288772034,0.0,0.0,0.1314145406820444,0.20781321727332872,0.0022364285172619854,0.011657679952425715,0.00025186153957046923,0.0,0.0,0.02977914618254586
2700.0,0.8050908958562367,0.047125821600000006,0.04667485679999999,0.006326619074791214,0.0,0.0,0.24650581498508473,0.08837020640809669,0.0016298806211146142,0.00973238041684987,0.0002673484514553193,0.0,0.0,0.041146608113042736
2800.0,0.038799561246083705,0.022435498800000002,0.020293415999999995,0.008077736854420925,0.0,0.0,0.21654008119867285,0.019399780623041853,0.0011245899380019726,0.006417341606530354,0.0003020902303248491,0.0,0.0,0.03895882443893006
2900.0,0.0,0.007610031000000001,0.008117366399999998,0.0071061489250779895,0.0,0.0,0.18964859694142433,0.0,0.0006549671850471596,0.0040586832,0.00028334071280283204,0.0,0.0,0.0387993835531816
3000.0,0.0,0.0014656356000000003,0.0020293415999999994,0.006529974687909504,0.0,0.0,0.18978571129332522,0.0,0.00028743478939293344,0.0020293416,0.0002716111401645482,0.0,0.0,0.03389716507918547
3100.0,0.0,0.0003945942,0.0,0.006484784551660995,0.0,0.0,0.1950229651376958,0.0,0.00014914258885549762,0.0,0.0002706696775738763,0.0,0.0,0.03558888155676765
3200.0,0.0,0.0,0.0,0.0053098410091997695,0.0,0.0,0.23889417683335523,0.0,0.0,0.0,0.0002449247020329189,0.0,0.0,0.04080684796409716
3300.0,0.0,0.0,0.0,0.0042930629436083246,0.0,0.0,0.20611366523417018,0.0,0.0,0.0,0.00022022948221405548,0.0,0.0,0.03645422645788818
3400.0,0.0,0.0,0.0,0.0027453007770969024,0.0,0.0,0.25640467765947506,0.0,0.0,0.0,0.00017611112696259835,0.0,0.0,0.04298424844923629
