Esum,phi,bkg_counts
50.0,2.5,0.0
50.0,7.5,0.0
50.0,12.5,0.0
50.0,17.5,0.0
50.0,22.5,0.0
50.0,27.5,0.0
50.0,32.5,0.0
50.0,37.5,0.0
50.0,42.5,0.0
50.0,47.5,0.0
50.0,52.5,0.0
50.0,57.5,0.0
50.0,62.5,0.0
50.0,67.5,0.0
50.0,72.5,0.0
50.0,77.5,0.0
50.0,82.5,0.0
50.0,87.5,0.0
50.0,92.5,0.0
50.0,97.5,0.0
50.0,102.5,0.0
50.0,107.5,0.0
50.0,112.5,0.0
50.0,117.5,0.0
50.0,122.5,0.0
50.0,127.5,0.0
50.0,132.5,0.0
50.0,137.5,0.0
50.0,142.5,0.0
50.0,147.5,0.0
50.0,152.5,0.0
50.0,157.5,0.0
50.0,162.5,0.0
50.0,167.5,0.0
50.0,172.5,0.0
50.0,177.5,0.0
150.0,2.5,0.0
150.0,7.5,0.0
150.0,12.5,0.0
150.0,17.5,0.0
150.0,22.5,0.0
150.0,27.5,0.0
150.0,32.5,0.0
150.0,37.5,0.0
150.0,42.5,0.0
150.0,47.5,0.0
150.0,52.5,0.0
150.0,57.5,0.0
150.0,62.5,0.0
150.0,67.5,0.0
150.0,72.5,0.0
150.0,77.5,0.0
150.0,82.5,0.0
150.0,87.5,0.0
150.0,92.5,0.0
150.0,97.5,0.0
150.0,102.5,0.0
150.0,107.5,0.0
150.0,112.5,0.0
150.0,117.5,0.0
150.0,122.5,0.0
150.0,127.5,0.0
150.0,132.5,0.0
150.0,137.5,0.0
150.0,142.5,0.0
150.0,147.5,0.0
150.0,152.5,0.0
150.0,157.5,0.0
150.0,162.5,0.0
150.0,167.5,0.0
150.0,172.5,0.0
150.0,177.5,0.0
250.0,2.5,0.7374817177772824
250.0,7.5,1.63764322624073
250.0,12.5,3.427120923788548
250.0,17.5,6.821705889439862
250.0,22.5,9.446273179176663
250.0,27.5,13.57833986260526
250.0,32.5,17.005460786393808
250.0,37.5,19.94454233812386
250.0,42.5,22.395584517795417
250.0,47.5,23.013767722402843
250.0,52.5,24.41281392230386
250.0,57.5,24.098299660310612
250.0,62.5,24.022382424657067
250.0,67.5,23.81632135645459
250.0,72.5,22.62333622475605
250.0,77.5,20.92062108224085
250.0,82.5,19.79270786681677
250.0,87.5,18.751557206425314
250.0,92.5,18.30689911188313
250.0,97.5,17.764633142929245
250.0,102.5,17.460964200315072
250.0,107.5,18.523805499464682
250.0,112.5,19.207060620346578
250.0,117.5,20.953157040378084
250.0,122.5,20.139758086947257
250.0,127.5,21.376124496162113
250.0,132.5,21.86416386822061
250.0,137.5,21.99430770076954
250.0,142.5,22.081070255802164
250.0,147.5,20.671178736522062
250.0,152.5,18.838319761457935
250.0,157.5,16.09445395855128
250.0,162.5,13.01438325489322
250.0,167.5,9.92346723185608
250.0,172.5,6.127605449178891
250.0,177.5,2.0172294045084493
350.0,2.5,1.7244057812733518
350.0,7.5,6.192677365453357
350.0,12.5,13.795246250186814
350.0,17.5,23.599414968873038
350.0,22.5,35.30151457889786
350.0,27.5,51.0272276785605
350.0,32.5,64.18260008538174
350.0,37.5,74.47480817612644
350.0,42.5,83.49811389951908
350.0,47.5,88.00976676121539
350.0,52.5,90.60179809281496
350.0,57.5,91.08983746487345
350.0,62.5,87.814551012392
350.0,67.5,85.60210585906015
350.0,72.5,80.04930233697239
350.0,77.5,77.27290057592849
350.0,82.5,72.92392750491834
350.0,87.5,70.31020553456062
350.0,92.5,70.40781340897232
350.0,97.5,68.98707657031315
350.0,102.5,68.53157315639189
350.0,107.5,72.70702111733678
350.0,112.5,73.97592348468888
350.0,117.5,79.99507574007698
350.0,122.5,82.0773770608599
350.0,127.5,89.0292267828487
350.0,132.5,86.66494715820976
350.0,137.5,87.33735695971258
350.0,142.5,86.1118358698768
350.0,147.5,81.18806087177553
350.0,152.5,73.68309986145378
350.0,157.5,66.57941566815789
350.0,162.5,53.80362943960438
350.0,167.5,40.312052132031745
350.0,172.5,25.32382075014639
350.0,177.5,8.589492948229525
450.0,2.5,2.7113298447694207
450.0,7.5,10.942927253489383
450.0,12.5,23.425889858807796
450.0,17.5,41.61349045752107
450.0,22.5,64.779092651231
450.0,27.5,89.87516169441676
450.0,32.5,114.22290370044615
450.0,37.5,134.69886668814482
450.0,42.5,150.08837488705606
450.0,47.5,158.61279591901112
450.0,52.5,161.86639173273443
450.0,57.5,164.6970200906737
450.0,62.5,160.21790318711462
450.0,67.5,155.00130456577824
450.0,72.5,149.92569509636988
450.0,77.5,142.3881981279109
450.0,82.5,135.17606074082423
450.0,87.5,134.2650539129817
450.0,92.5,130.1004512714159
450.0,97.5,130.85962362795132
450.0,102.5,134.83985584007283
450.0,107.5,141.69409768764993
450.0,112.5,147.70240462365896
450.0,117.5,156.11837246182327
450.0,122.5,163.16783005822376
450.0,127.5,170.94392405302244
450.0,132.5,173.96976815978513
450.0,137.5,174.41442625432728
450.0,142.5,168.74232421906967
450.0,147.5,163.53657091711239
450.0,152.5,147.6373327073845
450.0,157.5,129.54733998308294
450.0,162.5,109.32081934110306
450.0,167.5,78.67194677582951
450.0,172.5,50.04030361506443
450.0,177.5,17.471809519694148
550.0,2.5,3.665717950128257
550.0,7.5,13.838627527703125
550.0,12.5,32.08045472331179
550.0,17.5,59.94208020816235
550.0,22.5,97.48857589852929
550.0,27.5,135.51226564157565
550.0,32.5,176.38827438131943
550.0,37.5,208.0566069682263
550.0,42.5,227.6866350443569
550.0,47.5,242.28443492859543
550.0,52.5,247.63117738248076
550.0,57.5,252.21874747983063
550.0,62.5,245.11506328653473
550.0,67.5,236.49303438016796
550.0,72.5,228.19636505517354
550.0,77.5,218.80431847289225
550.0,82.5,212.16698301289674
550.0,87.5,206.34304650633197
550.0,92.5,205.59471946917563
550.0,97.5,207.17813609852098
550.0,102.5,212.65502238495523
550.0,107.5,222.53510833929496
550.0,112.5,235.46272903915556
550.0,117.5,249.96292104898245
550.0,122.5,261.66502065900727
550.0,127.5,271.8487755559612
550.0,132.5,280.19967147785104
550.0,137.5,281.4360378870659
550.0,142.5,272.69471046752926
550.0,147.5,260.69978723426937
550.0,152.5,237.28474269484062
550.0,157.5,208.16506016201703
550.0,162.5,171.18252107936215
550.0,167.5,129.1243725272989
550.0,172.5,79.85408658814897
550.0,177.5,26.863856101975422
650.0,2.5,4.218829238461218
650.0,7.5,17.54772675534769
650.0,12.5,42.27505493964481
650.0,17.5,77.58741483792174
650.0,22.5,125.77316883916389
650.0,27.5,176.9847669471687
650.0,32.5,230.31120233409368
650.0,37.5,275.0481447727891
650.0,42.5,302.9097702576397
650.0,47.5,322.2469747105352
650.0,52.5,333.7213226135994
650.0,57.5,333.1356753671292
650.0,62.5,328.53725995040026
650.0,67.5,321.2817412857973
650.0,72.5,310.6641736136802
650.0,77.5,304.74262923270385
650.0,82.5,291.9126164072549
650.0,87.5,288.21436249898943
650.0,92.5,284.4510366744495
650.0,97.5,289.6459446570277
650.0,102.5,303.07245004832583
650.0,107.5,313.87438814988724
650.0,112.5,331.9535355548097
650.0,117.5,353.27543345407645
650.0,122.5,368.8601574018111
650.0,127.5,385.99576202075383
650.0,132.5,394.2707407069901
650.0,137.5,391.0279902126458
650.0,142.5,388.0997539802949
650.0,147.5,364.3701951788729
650.0,152.5,332.20297790052854
650.0,157.5,286.7936256603303
650.0,162.5,239.009148476114
650.0,167.5,180.45526914847358
650.0,172.5,109.71125083874985
650.0,177.5,37.7634020779485
750.0,2.5,4.978001594996656
750.0,7.5,19.716790631163228
750.0,12.5,48.66294805392157
750.0,17.5,94.38681455611308
750.0,22.5,153.53718644960276
750.0,27.5,217.1016033303771
750.0,32.5,279.1585208174596
750.0,37.5,331.89930895791434
750.0,42.5,368.17690228092914
750.0,47.5,392.5029536482004
750.0,52.5,406.6018688410014
750.0,57.5,411.22197489648846
750.0,62.5,405.7450886100543
750.0,67.5,400.3549648786527
750.0,72.5,381.77693278229265
750.0,77.5,377.21105332370087
750.0,82.5,366.0837556407672
750.0,87.5,358.4486507978965
750.0,92.5,364.40273113701016
750.0,97.5,372.71024578138366
750.0,102.5,384.7810862502971
750.0,107.5,401.4720327746977
750.0,112.5,426.83923480236035
750.0,117.5,450.8724625463965
750.0,122.5,471.3809614922324
750.0,127.5,486.9114588430716
750.0,132.5,501.30319765910775
750.0,137.5,502.34434831949915
750.0,142.5,489.0696773995081
750.0,147.5,462.0322961874674
750.0,152.5,425.4510339218385
750.0,157.5,372.482494074423
750.0,162.5,304.7968558295992
750.0,167.5,226.5587218289328
750.0,172.5,141.6615617295127
750.0,177.5,48.250825917516615
850.0,2.5,4.511652861696316
850.0,7.5,21.007383637273474
850.0,12.5,55.22436627826357
850.0,17.5,106.05637820800067
850.0,22.5,171.52957129949263
850.0,27.5,244.9632288152276
850.0,32.5,317.51841546125735
850.0,37.5,374.4997234789315
850.0,42.5,415.2455883861263
850.0,47.5,445.95953286767434
850.0,52.5,461.11044404024585
850.0,57.5,465.4811077500142
850.0,62.5,463.8760004819107
850.0,67.5,457.66163247769913
850.0,72.5,450.3627325355799
850.0,77.5,438.8775393131366
850.0,82.5,426.644019053537
850.0,87.5,426.18851563961573
850.0,92.5,427.620097797654
850.0,97.5,435.07083221108036
850.0,102.5,455.2322809367858
850.0,107.5,477.4434950251368
850.0,112.5,504.95807028985695
850.0,117.5,535.1080581636928
850.0,122.5,556.3323481885479
850.0,127.5,584.3458081447055
850.0,132.5,589.855230389277
850.0,137.5,585.5496385957832
850.0,142.5,574.6934738973264
850.0,147.5,545.1074426312025
850.0,152.5,494.8068513510402
850.0,157.5,437.5544103488891
850.0,162.5,359.7067078458695
850.0,167.5,267.1310616260624
850.0,172.5,167.80962675246897
850.0,177.5,55.40873670770789
950.0,2.5,4.82616712368957
950.0,7.5,21.300207260508568
950.0,12.5,55.28943819453803
950.0,17.5,109.51603508992643
950.0,22.5,177.3751984448155
950.0,27.5,260.1683665846945
950.0,32.5,332.85369706327316
950.0,37.5,398.82577484620276
950.0,42.5,441.67563171293864
950.0,47.5,472.5305653464146
950.0,52.5,494.4164198533934
950.0,57.5,502.4961827908063
950.0,62.5,502.8540783303159
950.0,67.5,500.500644025056
950.0,72.5,488.9286882475801
950.0,77.5,479.58002294281516
950.0,82.5,474.22243516955075
950.0,87.5,474.5477947509231
950.0,92.5,477.92068907781623
950.0,97.5,491.705090008624
950.0,102.5,508.08152227103136
950.0,107.5,533.9909902676478
950.0,112.5,564.5856362360261
950.0,117.5,591.2976578666944
950.0,122.5,619.5063335716754
950.0,127.5,644.6674745311357
950.0,132.5,653.9727585583843
950.0,137.5,657.9204548123686
950.0,142.5,632.4014183133987
950.0,147.5,604.6265553835808
950.0,152.5,550.2806599750226
950.0,157.5,483.02883450536183
950.0,162.5,394.32496730388544
950.0,167.5,295.9145392581346
950.0,172.5,184.565645193144
950.0,177.5,60.80970575848857
1050.0,2.5,4.837012443068646
1050.0,7.5,21.24598066361318
1050.0,12.5,55.05084116819832
1050.0,17.5,109.67871488061262
1050.0,22.5,183.15575367386393
1050.0,27.5,260.6780965955112
1050.0,32.5,336.24828202892445
1050.0,37.5,401.8299283142073
1050.0,42.5,444.71232113908036
1050.0,47.5,484.7423949672561
1050.0,52.5,504.35073240462856
1050.0,57.5,516.2263571247187
1050.0,62.5,516.8987669262215
1050.0,67.5,515.5973286007321
1050.0,72.5,509.8709999685791
1050.0,77.5,498.1905909973124
1050.0,82.5,496.1516709540458
1050.0,87.5,495.3057360424778
1050.0,92.5,503.9603009069818
1050.0,97.5,519.631787409749
1050.0,102.5,544.0337560126738
1050.0,107.5,566.9065345831486
1050.0,112.5,596.6118643624425
1050.0,117.5,629.4081101647733
1050.0,122.5,659.5472527192302
1050.0,127.5,675.5007175258536
1050.0,132.5,688.5910180164002
1050.0,137.5,690.8251538084903
1050.0,142.5,670.8589208316082
1050.0,147.5,635.633323488364
1050.0,152.5,582.7081649184648
1050.0,157.5,508.49364440743625
1050.0,162.5,417.4797241782163
1050.0,167.5,309.21090081688385
1050.0,172.5,192.18990471663562
1050.0,177.5,66.53603439064159
1150.0,2.5,4.511652861696316
1150.0,7.5,19.56495615985614
1150.0,12.5,50.85370256849526
1150.0,17.5,105.24297925456985
1150.0,22.5,174.58795136439252
1150.0,27.5,251.11252490316468
1150.0,32.5,325.4029626498468
1150.0,37.5,387.1019845974198
1150.0,42.5,434.3441958126822
1150.0,47.5,472.0750619324934
1150.0,52.5,488.41895823676344
1150.0,57.5,504.61102006972646
1150.0,62.5,510.7603161576635
1150.0,67.5,507.1488248044306
1150.0,72.5,504.52425751469383
1150.0,77.5,499.3510401708738
1150.0,82.5,501.82377298930345
1150.0,87.5,502.3985749163946
1150.0,92.5,511.23751021034286
1150.0,97.5,524.0458323970337
1150.0,102.5,544.3699609134253
1150.0,107.5,573.4679528074906
1150.0,112.5,604.4638755928946
1150.0,117.5,631.034908071635
1150.0,122.5,659.9702201750142
1150.0,127.5,688.1029786443418
1150.0,132.5,691.3782650968232
1150.0,137.5,693.6124008889132
1150.0,142.5,676.9865262807872
1150.0,147.5,637.4770277828071
1150.0,152.5,583.5540998300329
1150.0,157.5,513.8078509031843
1150.0,162.5,425.83062010010616
1150.0,167.5,313.2670502646589
1150.0,172.5,193.78416666536003
1150.0,177.5,64.88754584502178
1250.0,2.5,3.4813475206839364
1250.0,7.5,18.274363153745895
1250.0,12.5,49.172678064738214
1250.0,17.5,96.24136416993537
1250.0,22.5,158.0922205888154
1250.0,27.5,231.87292832468086
1250.0,32.5,302.06383534607164
1250.0,37.5,358.8824635730596
1250.0,42.5,405.25704923799583
1250.0,47.5,434.1706707026169
1250.0,52.5,462.6396340726958
1250.0,57.5,476.89038373680387
1250.0,62.5,478.1159048266397
1250.0,67.5,486.47764606790855
1250.0,72.5,483.58194579369484
1250.0,77.5,486.32581159660145
1250.0,82.5,479.3848071939918
1250.0,87.5,482.4214966201335
1250.0,92.5,492.1714387419243
1250.0,97.5,508.49364440743625
1250.0,102.5,537.9712224797694
1250.0,107.5,553.6643996212948
1250.0,112.5,582.7949274734975
1250.0,117.5,613.6498611069735
1250.0,122.5,643.1708204568229
1250.0,127.5,661.618708720634
1250.0,132.5,672.5291000159862
1250.0,137.5,670.8155395540919
1250.0,142.5,652.9749891755091
1250.0,147.5,612.7171636403729
1250.0,152.5,565.1821288018754
1250.0,157.5,493.59217558058356
1250.0,162.5,404.63886603338835
1250.0,167.5,303.8750036823776
1250.0,172.5,188.68686655719355
1250.0,177.5,63.65117943580692
1350.0,2.5,3.1668332586906836
1350.0,7.5,14.803860952441037
1350.0,12.5,40.97361661415549
1350.0,17.5,84.41996604674068
1350.0,22.5,142.21467301784566
1350.0,27.5,205.26935988780332
1350.0,32.5,267.347968013644
1350.0,37.5,322.3988091818423
1350.0,42.5,360.465880202405
1350.0,47.5,390.62671339562
1350.0,52.5,418.4991841998496
1350.0,57.5,429.2360503851366
1350.0,62.5,435.5154903056225
1350.0,67.5,443.41088281359106
1350.0,72.5,441.9467646974156
1350.0,77.5,446.0462954227069
1350.0,82.5,440.1247510417305
1350.0,87.5,451.4147285153504
1350.0,92.5,460.3838076418476
1350.0,97.5,474.4068055989951
1350.0,102.5,497.83269545780286
1350.0,107.5,517.0072201200122
1350.0,112.5,543.8819215413668
1350.0,117.5,570.3553461456953
1350.0,122.5,591.8833051131645
1350.0,127.5,609.5937116591984
1350.0,132.5,621.5669442537002
1350.0,137.5,620.6667827452367
1350.0,142.5,603.2166638643007
1350.0,147.5,575.1706679500058
1350.0,152.5,525.9220726496142
1350.0,157.5,459.3426569814562
1350.0,162.5,379.7271674196469
1350.0,167.5,281.89154130098717
1350.0,172.5,174.86992966824855
1350.0,177.5,59.89869893064604
1450.0,2.5,2.277517069606313
1450.0,7.5,12.895084741723366
1450.0,12.5,35.51842096647941
1450.0,17.5,71.1452951267496
1450.0,22.5,121.23982533870941
1450.0,27.5,175.6833286216794
1450.0,32.5,226.18998097004416
1450.0,37.5,273.0634513264179
1450.0,42.5,310.3171233935497
1450.0,47.5,339.675402952713
1450.0,52.5,360.28150977296065
1450.0,57.5,372.2981236449787
1450.0,62.5,380.04168168164017
1450.0,67.5,387.4815707756875
1450.0,72.5,388.68540122676507
1450.0,77.5,386.86338757108
1450.0,82.5,394.31412198450636
1450.0,87.5,398.3268901547652
1450.0,92.5,407.2851239618833
1450.0,97.5,423.19520749099024
1450.0,102.5,443.2915843004212
1450.0,107.5,461.9780695905721
1450.0,112.5,479.5366416652988
1450.0,117.5,503.0492940791392
1450.0,122.5,525.8353100945815
1450.0,127.5,544.760392411072
1450.0,132.5,553.1655149298572
1450.0,137.5,549.8576925192385
1450.0,142.5,538.0796756735601
1450.0,147.5,510.3698846600167
1450.0,152.5,470.6434797744551
1450.0,157.5,408.82515931371233
1450.0,162.5,337.6473282288255
1450.0,167.5,248.0758354770229
1450.0,172.5,154.86031541385023
1450.0,177.5,53.19629155437603
1550.0,2.5,2.049765362645682
1550.0,7.5,10.465733200809964
1550.0,12.5,28.685869757660473
1550.0,17.5,58.250210385026236
1550.0,22.5,99.87454616192638
1550.0,27.5,143.24497835885805
1550.0,32.5,185.8453928798752
1550.0,37.5,224.64994561821513
1550.0,42.5,253.3791966533919
1550.0,47.5,278.3451218640288
1550.0,52.5,296.01214713254626
1550.0,57.5,313.4405753747241
1550.0,62.5,317.65940461318536
1550.0,67.5,323.66771154919434
1550.0,72.5,325.8367754250099
1550.0,77.5,330.28335637043176
1550.0,82.5,330.0881406216084
1550.0,87.5,340.7599348906208
1550.0,92.5,350.4773410542744
1550.0,97.5,360.0971393435163
1550.0,102.5,377.1134454492892
1550.0,107.5,394.29243134574824
1550.0,112.5,409.3457346439081
1550.0,117.5,433.9320736762771
1550.0,122.5,451.5990989447948
1550.0,127.5,461.9889149099512
1550.0,132.5,468.669631647463
1550.0,137.5,470.4482640256318
1550.0,142.5,462.7697779052447
1550.0,147.5,440.08136976421423
1550.0,152.5,400.06214125541754
1550.0,157.5,350.43395977675806
1550.0,162.5,290.75216723369357
1550.0,167.5,217.23174716292598
1550.0,172.5,133.57095347272076
1550.0,177.5,45.61541330840073
1650.0,2.5,1.4641181161754873
1650.0,7.5,7.5591876072171456
1650.0,12.5,21.311052579887647
1650.0,17.5,47.025304827680834
1650.0,22.5,76.62218141318382
1650.0,27.5,110.15590893329203
1650.0,32.5,146.30335842375794
1650.0,37.5,179.00199635167715
1650.0,42.5,199.6297938106829
1650.0,47.5,222.24228471605988
1650.0,52.5,236.54726097706333
1650.0,57.5,247.8914650475786
1650.0,62.5,257.3485835461343
1650.0,67.5,263.8232392154437
1650.0,72.5,264.89692583397243
1650.0,77.5,271.24143767073286
1650.0,82.5,273.2695123946204
1650.0,87.5,275.8073171293246
1650.0,92.5,283.8979253861165
1650.0,97.5,292.62840748627406
1650.0,102.5,305.8163158512325
1650.0,107.5,323.77616474298515
1650.0,112.5,336.71463076222483
1650.0,117.5,354.37081071136333
1650.0,122.5,371.81008427292016
1650.0,127.5,378.91376846621614
1650.0,132.5,389.68317060964023
1650.0,137.5,387.0152220423871
1650.0,142.5,379.7271674196469
1650.0,147.5,361.69140129224076
1650.0,152.5,328.21190036902794
1650.0,157.5,290.78470319183083
1650.0,162.5,238.73801549163704
1650.0,167.5,178.38381314706973
1650.0,172.5,111.4356566200232
1650.0,177.5,38.4900384763467
1750.0,2.5,1.2255210898357782
1750.0,7.5,5.910699061597337
1750.0,12.5,15.931774167865116
1750.0,17.5,33.739788588310674
1750.0,22.5,57.83808824862128
1750.0,27.5,83.75840156461695
1750.0,32.5,110.50295915342251
1750.0,37.5,133.80955049906046
1750.0,42.5,153.63479432401445
1750.0,47.5,168.23259420825303
1750.0,52.5,181.3662759763161
1750.0,57.5,187.2878203572925
1750.0,62.5,195.81224138924756
1750.0,67.5,201.0830666074793
1750.0,72.5,204.67286732195404
1750.0,77.5,208.8700059216571
1750.0,82.5,210.8655446874074
1750.0,87.5,211.02822447809356
1750.0,92.5,222.74116940749744
1750.0,97.5,229.27005167370223
1750.0,102.5,238.1198322870296
1750.0,107.5,251.93676917597458
1750.0,112.5,263.4978796340714
1750.0,117.5,276.5990254439972
1750.0,122.5,287.9540748338915
1750.0,127.5,298.7777035742111
1750.0,132.5,305.9139237256442
1750.0,137.5,307.8552358944991
1750.0,142.5,296.9014633216307
1750.0,147.5,282.0650664110524
1750.0,152.5,263.95338304799265
1750.0,157.5,230.5064180829171
1750.0,162.5,191.64763874768173
1750.0,167.5,144.2752836998704
1750.0,172.5,89.64740998745613
1750.0,177.5,30.735635120306156
1850.0,2.5,0.7157910790191271
1850.0,7.5,3.5138834788211697
1850.0,12.5,11.420121306168799
1850.0,17.5,24.119990299068768
1850.0,22.5,40.10599106382927
1850.0,27.5,59.87700829188789
1850.0,32.5,77.78263058674514
